region,source_name,url,sectors,is_paywalled, Comments
pan-african,Business Daily Africa,https://www.businessdailyafrica.com/,Business and Economics,yes,Paywalled
pan-african,Daily Investor,https://dailyinvestor.com/,Business and Economics,no,
pan-african,Africa News,https://www.africanews.com/business/,Business and Economics,no,
pan-african,Reuters Africa,https://www.reuters.com/world/africa/,Business and Economics,restricted,~5-10 free articles per month
pan-african,African Business,https://african.business/,Business and Economics,no,
pan-african,Bloomberg Africa,https://www.bloomberg.com/africa,Business and Economics,yes,Paywalled
pan-african,Business Insider Africa,https://africa.businessinsider.com/,Business and Economics,no,
pan-african,MoneyWeb,https://www.moneyweb.co.za/category/news/africa/ ,Business and Economics,restricted,~4 free articles per month
pan-african,Financial Afrik,https://www.financialafrik.com/,Business and Economics,yes,Paywalled
pan-african,Jeune Afrik,https://www.jeuneafrique.com/ ,Business and Economics,no,
pan-african,Forbes Africa Lusafona,https://forbesafricalusofona.com/,Business and Economics,no,
pan-african,Aljazeera,https://www.aljazeera.com/africa/,Politics and Security,no,
pan-african,AP News,https://apnews.com/hub/africa,Politics and Security,no,
pan-african,BBC News,https://www.bbc.com/news/world/africa,Politics and Security,no,
pan-african,Defence Web,https://www.defenceweb.co.za/category/african-news/,Politics and Security,no,
pan-african,News 24,https://www.news24.com/,Politics and Security,no,
pan-african,IOL,https://www.iol.co.za/,Politics and Security,no,
pan-african,Mail & Guardian Africa,https://mg.co.za/,Politics and Security,yes,Paywalled
pan-african,Africa Report,https://www.theafricareport.com/,Politics and Security,yes,Paywalled
pan-african,TimesLive,https://www.timeslive.co.za/,Politics and Security,no,
pan-african,Jeune Afrique,https://www.jeuneafrique.com/,Politics and Security,no,
pan-african,Africa Confidential,https://www.africa-confidential.com/news,Politics and Security,yes,Paywalled
pan-african,Financial Times African Politics,https://www.ft.com/african-politics?form=MG0AV3,Politics and Security,yes,Paywalled
pan-african,New African,https://newafricanmagazine.com/,Politics and Security,no,
pan-african,Polity,https://www.polity.org.za/,Politics and Security,no,
pan-african,Africa Energy Portal,https://africa-energy-portal.org/news,"Agri, Energy and Natural Resources",no,
pan-african,Alternate Energy Africa,https://www.ae-africa.com/news/,"Agri, Energy and Natural Resources",no,
